subject,s-tag,s-NER,s-type,verb,v-tag,v-cat,v-process,object,o-tag,o-NER,o-type,label
user,NN,O,person,create,VB,intransitive,Y,address,NN,O,communication,false
user,NN,O,person,create,VB,intransitive,Y,address,NN,O,communication,false
user,NN,O,person,create,VB,intransitive,Y,address,NN,O,communication,false
user,NN,O,person,create,VB,intransitive,Y,identify,VB,O,,false
user,NN,O,person,create,VB,intransitive,Y,identify,VB,O,,false
user,NN,O,person,create,VB,intransitive,Y,account,NN,O,state,false
user,NN,O,person,create,VB,intransitive,Y,account,NN,O,state,false
system,NN,O,group,allow,VBP,transitive,N,user,NN,O,person,false
user,NN,O,person,create,VB,intransitive,Y,address,NN,O,communication,false
user,NN,O,person,specify,VB,intransitive,Y,type,NN,O,cognition,false
system,NN,O,group,require,VBP,transitive,N,user,NN,O,person,false
type,NN,O,cognition,have,VBP,transitive,N,privilege,NN,O,attribute,false
type,NN,O,cognition,have,VBP,transitive,N,privilege,NN,O,attribute,false
type,NN,O,cognition,have,VBP,transitive,N,privilege,NN,O,attribute,false
type,NN,O,cognition,have,VBP,transitive,N,privilege,NN,O,attribute,false
system,NN,O,group,to,TO,transitive,N,address,NN,O,communication,false
system,NN,O,group,send,VB,transitive,N,password,NN,O,communication,false
system,NN,O,group,send,VB,transitive,N,password,NN,O,communication,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
user,NN,O,person,change,NN,intransitive,N,password,NN,O,communication,false
user,NN,O,person,change,NN,intransitive,N,password,NN,O,communication,false
user,NN,O,person,at,IN,transitive,N,login,NN,O,,false
system,NN,O,group,require,VBP,transitive,N,user,NN,O,person,false
user,NN,O,person,at,IN,transitive,N,login,NN,O,,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
password,NN,O,communication,to,TO,transitive,N,rule,VB,O,cognition,false
system,NN,O,group,allow,VBP,transitive,N,organizer,NN,TITLE,person,false
form,NN,O,communication,with,IN,transitive,N,field,NN,O,location,false
organizer,NN,TITLE,person,submit,VBP,intransitive,Y,proposal,NN,O,communication,false
system,NN,O,group,change,NN,intransitive,N,status,NN,O,state,false
proposal,NN,O,communication,be,VB,intransitive,N,review,NN,O,cognition,false
system,NN,O,group,notify,VBP,transitive,Y,organizer,NN,TITLE,person,false
payment,NN,O,possession,be,VB,intransitive,N,receive,VB,O,,false
proposal,NN,O,communication,be,VB,intransitive,N,review,NN,O,cognition,false
